,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,23.1,77,3.33,59,0,8,5,5,15,0.65,12,0,2,1,0,0,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,25,0.69,22,0,2,0,1,2,0.06,2,0,0,0,0,0,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,7,2.64,5,0,1,1,0,3,1.13,2,0,0,1,0,0,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,13,0.38,11,0,0,1,1,1,0.03,0,0,0,1,0,0,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,14,1.09,11,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,5,0.74,4,1,0,0,0,1,0.15,0,1,0,0,0,0,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,2,0.54,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,10,1.20,9,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,36,2.57,24,0,5,4,3,6,0.43,5,0,1,0,0,0,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.9,22,3.19,17,2,1,1,1,2,0.29,2,0,0,0,0,0,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,7,0.67,6,0,1,0,0,2,0.19,1,0,1,0,0,0,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.8,26,3.32,22,0,2,0,2,1,0.13,1,0,0,0,0,0,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.2,47,3.30,39,0,5,2,1,5,0.35,3,0,2,0,0,0,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.5,10,1.33,9,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,30.5,62,2.04,45,14,0,0,3,1,0.03,0,1,0,0,0,0,Matches
53,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,3,1.08,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,28.1,43,1.53,35,2,2,3,1,4,0.14,4,0,0,0,0,0,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,14.0,11,0.79,10,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
56,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,22.0,8,0.36,8,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,3,4.58,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,37,4.36,22,0,8,1,6,3,0.35,2,0,1,0,0,0,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,22,1996,10.2,27,2.65,11,6,3,4,3,5,0.49,3,2,0,0,0,0,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,5.0,13,2.58,9,2,0,1,1,3,0.59,3,0,0,0,0,0,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,3.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
