,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
159,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,9.4,12,1.27,7,1,0,2,2,2,0.21,2,0,0,0,0,0,Matches
160,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,4,0.22,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
161,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
162,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,38.0,2,0.05,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
163,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,22.8,57,2.50,38,6,6,3,4,6,0.26,4,0,2,0,0,0,Matches
164,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,4,2.79,3,0,0,0,0,1,0.70,0,0,0,0,0,1,Matches
165,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,6,2.78,5,0,0,0,1,1,0.46,1,0,0,0,0,0,Matches
166,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,11.0,20,1.81,14,0,1,3,2,4,0.36,2,0,1,1,0,0,Matches
167,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,29.4,11,0.37,8,0,0,3,0,1,0.03,1,0,0,0,0,0,Matches
168,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,16.2,29,1.79,25,1,2,0,1,2,0.12,1,0,0,0,1,0,Matches
169,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,2,8.57,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
170,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,22.3,16,0.72,15,0,0,1,0,4,0.18,3,0,0,1,0,0,Matches
171,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,4.9,9,1.84,7,2,0,0,0,1,0.20,1,0,0,0,0,0,Matches
172,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,14.0,18,1.28,15,0,0,1,2,1,0.07,1,0,0,0,0,0,Matches
173,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.4,14,1.67,11,0,1,2,0,1,0.12,0,0,0,1,0,0,Matches
174,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,6.9,29,4.20,25,1,1,1,1,6,0.87,5,0,0,0,1,0,Matches
175,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,35.9,184,5.12,130,22,11,2,19,15,0.42,11,1,2,0,1,0,Matches
176,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,17,2001,14.7,36,2.45,32,0,2,0,2,7,0.48,7,0,0,0,0,0,Matches
177,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,7.0,8,1.14,5,1,0,0,2,0,0.00,0,0,0,0,0,0,Matches
178,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,20.0,93,4.66,51,33,4,1,2,8,0.40,3,3,0,0,0,2,Matches
179,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,35.0,3,0.09,3,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
180,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,34,1.75,26,0,3,2,3,2,0.10,1,0,0,0,1,0,Matches
181,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,22.7,32,1.41,25,4,0,1,2,4,0.18,4,0,0,0,0,0,Matches
182,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,22.4,73,3.25,64,2,1,3,3,3,0.13,3,0,0,0,0,0,Matches
183,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
184,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,25.2,51,2.03,42,1,1,4,3,7,0.28,3,0,0,2,2,0,Matches
185,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,2,0.14,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
186,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,17.2,8,0.47,7,0,0,1,0,1,0.06,0,0,0,1,0,0,Matches
187,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.7,26,1.05,21,0,0,2,3,3,0.12,1,0,0,1,1,0,Matches
188,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
189,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,36.0,4,0.11,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
190,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,46,1.85,41,1,1,3,0,7,0.28,6,0,0,1,0,0,Matches
191,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,27,1.26,21,3,1,2,0,1,0.05,1,0,0,0,0,0,Matches
192,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,1,0.33,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
193,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,2,1.68,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
194,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,15.4,43,2.80,27,1,10,3,2,4,0.26,3,0,1,0,0,0,Matches
195,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,27,1992,27.5,95,3.45,60,7,15,10,3,22,0.80,13,1,3,4,1,0,Matches
196,George Hirst\George-Hirst,eng ENG,FW,Leicester City,20,1999,0.1,2,16.36,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
197,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,6.5,2,0.31,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
198,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.4,18,1.58,8,8,1,1,0,0,0.00,0,0,0,0,0,0,Matches
199,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.8,17,0.74,9,0,1,6,1,5,0.22,3,0,0,2,0,0,Matches
200,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
201,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,17.0,57,3.34,25,27,0,2,3,7,0.41,2,5,0,0,0,0,Matches
202,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.6,45,4.69,35,1,4,3,2,6,0.63,6,0,0,0,0,0,Matches
203,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,24,1995,25.0,46,1.84,29,11,1,0,5,3,0.12,2,1,0,0,0,0,Matches
204,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,30.6,63,2.06,53,1,2,2,5,5,0.16,3,0,0,0,2,0,Matches
205,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
206,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,2.5,1,0.39,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
207,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.1,5,4.46,3,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
208,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,22,1996,10.7,39,3.66,24,0,8,4,3,5,0.47,3,0,1,0,1,0,Matches
209,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,31.2,86,2.76,55,0,14,9,8,12,0.39,5,0,5,1,1,0,Matches
210,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,17.7,44,2.48,41,0,2,1,0,2,0.11,2,0,0,0,0,0,Matches
211,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
212,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.5,8,2.32,5,0,1,0,1,1,0.29,0,0,0,0,0,1,Matches
213,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,25.4,64,2.52,44,0,4,5,11,8,0.31,8,0,0,0,0,0,Matches
214,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
215,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,16.8,48,2.85,33,8,1,1,5,4,0.24,4,0,0,0,0,0,Matches
216,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.7,14,2.08,13,0,1,0,0,1,0.15,1,0,0,0,0,0,Matches
217,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,22.6,70,3.10,48,0,13,8,1,13,0.58,9,0,3,1,0,0,Matches
218,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,36.0,83,2.31,57,0,13,8,5,12,0.33,7,0,2,1,2,0,Matches
219,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,29.8,58,1.95,48,1,2,4,3,3,0.10,3,0,0,0,0,0,Matches
220,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,19,2000,3.0,5,1.67,4,1,0,0,0,2,0.67,2,0,0,0,0,0,Matches
221,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,1.4,3,2.14,2,0,1,0,0,1,0.71,1,0,0,0,0,0,Matches
222,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
223,Bruno Jordão\Bruno-Jordao,pt POR,FW,Wolves,20,1998,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
224,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,26.4,65,2.46,61,0,0,1,3,6,0.23,5,0,0,0,1,0,Matches
225,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.7,8,2.15,7,0,0,0,1,1,0.27,1,0,0,0,0,0,Matches
226,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,25.4,89,3.51,51,1,16,8,13,6,0.24,4,0,0,1,1,0,Matches
227,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,11.2,23,2.05,20,0,0,0,3,2,0.18,2,0,0,0,0,0,Matches
228,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,25.0,7,0.28,6,0,0,0,1,2,0.08,2,0,0,0,0,0,Matches
229,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,28.7,53,1.84,37,0,7,4,5,6,0.21,3,0,0,2,1,0,Matches
230,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,19.2,51,2.65,47,0,0,1,3,1,0.05,1,0,0,0,0,0,Matches
231,Moise Kean\Moise-Kean,it ITA,FW,Everton,19,2000,9.5,27,2.85,14,0,8,3,2,1,0.11,0,0,0,1,0,0,Matches
232,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,28.4,10,0.35,10,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
233,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,9.1,32,3.53,28,1,2,1,0,5,0.55,5,0,0,0,0,0,Matches
234,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,20,1998,7.1,5,0.70,4,1,0,0,0,1,0.14,1,0,0,0,0,0,Matches
235,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,9,0.52,9,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
236,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
237,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,22.3,56,2.51,37,0,11,3,5,8,0.36,4,0,2,1,1,0,Matches
238,Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,31,1988,6.5,2,0.31,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
239,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.3,3,2.31,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
240,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,18.9,18,0.95,18,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches
241,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,22.7,14,0.62,9,0,1,2,2,2,0.09,1,0,0,1,0,0,Matches
242,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,29,1989,28.1,16,0.57,14,0,1,1,0,1,0.04,1,0,0,0,0,0,Matches
243,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,23.0,64,2.78,60,0,2,1,1,7,0.30,7,0,0,0,0,0,Matches
244,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,11.3,4,0.35,4,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
245,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,36.0,2,0.06,1,1,0,0,0,1,0.03,1,0,0,0,0,0,Matches
246,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,20.8,58,2.79,36,0,5,9,8,13,0.62,5,0,3,4,1,0,Matches
247,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.2,9,2.12,7,0,1,0,1,1,0.24,1,0,0,0,0,0,Matches
248,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,13.5,47,3.48,27,5,3,4,7,9,0.67,3,1,0,3,1,1,Matches
249,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,18,2000,6.5,10,1.53,6,1,1,1,1,2,0.31,1,1,0,0,0,0,Matches
250,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,1,2.81,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
251,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,2,0.92,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
252,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,15.3,57,3.72,39,11,1,1,5,5,0.33,2,0,0,0,3,0,Matches
253,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,12.2,8,0.66,7,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
254,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,23.1,7,0.30,5,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
255,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,23,1996,5.3,8,1.50,4,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
256,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,16,2.10,14,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
257,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,1,0.20,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
258,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,7,1.27,6,0,0,0,1,1,0.18,1,0,0,0,0,0,Matches
259,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,1,0.03,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
260,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,30.0,34,1.13,28,0,2,0,4,2,0.07,2,0,0,0,0,0,Matches
261,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,25.6,32,1.25,26,2,3,0,1,1,0.04,1,0,0,0,0,0,Matches
262,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,34.4,17,0.49,15,1,0,1,0,2,0.06,2,0,0,0,0,0,Matches
263,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,10.4,38,3.66,33,0,2,1,2,3,0.29,3,0,0,0,0,0,Matches
264,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,20.1,1,0.05,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
265,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,16.6,59,3.56,44,9,2,1,3,6,0.36,5,0,0,1,0,0,Matches
266,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,1.0,1,1.05,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
267,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,23,1996,2.3,2,0.87,2,0,0,0,0,1,0.43,1,0,0,0,0,0,Matches
268,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,28,1990,6.3,3,0.48,1,1,0,1,0,1,0.16,0,1,0,0,0,0,Matches
269,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,15.5,31,2.00,25,0,1,4,1,3,0.19,1,0,0,2,0,0,Matches
270,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.4,6,0.94,6,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
271,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,15.3,31,2.02,19,7,1,2,2,2,0.13,1,0,0,1,0,0,Matches
272,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,8.6,5,0.58,5,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches
273,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,17.0,17,1.00,16,0,0,0,1,1,0.06,1,0,0,0,0,0,Matches
274,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,31.2,9,0.29,8,0,0,1,0,4,0.13,4,0,0,0,0,0,Matches
275,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,29.0,41,1.41,34,1,3,0,3,2,0.07,2,0,0,0,0,0,Matches
276,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,27.3,44,1.61,36,1,0,5,2,6,0.22,5,0,0,1,0,0,Matches
277,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,20,1998,3.9,11,2.81,4,3,2,2,0,0,0.00,0,0,0,0,0,0,Matches
278,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,29.2,168,5.76,76,53,16,7,16,12,0.41,7,4,1,0,0,0,Matches
279,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,38.0,30,0.79,28,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
280,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,28,1991,21.6,137,6.34,90,13,20,4,10,30,1.39,17,2,5,1,5,0,Matches
281,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,15.4,20,1.30,17,1,1,0,1,2,0.13,2,0,0,0,0,0,Matches
282,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,30.5,107,3.51,85,0,6,3,13,15,0.49,9,0,0,1,5,0,Matches
283,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,17.8,14,0.79,12,1,0,0,1,3,0.17,1,1,0,0,1,0,Matches
284,Solly March\Solly-March,eng ENG,DFFW,Brighton,25,1994,12.7,32,2.52,24,3,3,0,2,2,0.16,2,0,0,0,0,0,Matches
285,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
286,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,16.8,10,0.59,10,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
287,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,23,1995,29.2,92,3.16,72,0,12,3,5,18,0.62,13,0,2,1,2,0,Matches
288,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
289,Josh Martin\Josh-Martin,eng ENG,FW,Norwich City,17,2001,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
290,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.4,8,1.09,5,0,2,0,1,0,0.00,0,0,0,0,0,0,Matches
291,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,26,1992,8.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
292,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,20.2,20,0.99,18,2,0,0,0,1,0.05,0,1,0,0,0,0,Matches
293,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,10.4,10,0.96,10,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
294,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,8.4,38,4.51,31,3,1,2,1,2,0.24,2,0,0,0,0,0,Matches
295,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,17.6,43,2.45,40,0,2,0,1,4,0.23,4,0,0,0,0,0,Matches
296,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,7.8,5,0.64,4,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
297,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,22,1996,30.7,71,2.31,51,0,7,9,4,7,0.23,6,0,1,0,0,0,Matches
298,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,34.3,60,1.75,51,0,3,2,4,9,0.26,5,0,0,1,3,0,Matches
299,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,23.5,28,1.19,23,0,1,3,1,2,0.09,0,0,0,2,0,0,Matches
300,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,28.0,4,0.14,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
301,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,18.7,28,1.50,14,13,0,1,0,3,0.16,1,2,0,0,0,0,Matches
302,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,25.7,93,3.62,69,10,7,2,5,9,0.35,6,1,1,0,1,0,Matches
303,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,20.2,35,1.74,26,1,5,2,1,4,0.20,3,0,1,0,0,0,Matches
304,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
305,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,33.0,58,1.76,46,6,2,2,2,2,0.06,2,0,0,0,0,0,Matches
306,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,37.1,102,2.75,61,22,6,6,7,14,0.38,9,2,1,1,1,0,Matches
307,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,19.7,35,1.78,25,0,1,3,5,3,0.15,2,0,0,0,0,1,Matches
308,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,32.0,21,0.66,13,1,1,6,0,2,0.06,1,0,0,1,0,0,Matches
309,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,16.6,36,2.17,33,1,1,1,0,6,0.36,5,1,0,0,0,0,Matches
310,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,3.2,8,2.47,8,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
311,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,10.1,3,0.30,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
312,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,7.3,11,1.51,10,0,0,0,1,1,0.14,1,0,0,0,0,0,Matches
313,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,27.9,43,1.54,17,25,1,0,0,3,0.11,2,1,0,0,0,0,Matches
314,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,10.4,23,2.21,19,1,0,1,2,4,0.38,4,0,0,0,0,0,Matches
315,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,25.4,13,0.51,8,0,0,5,0,2,0.08,1,0,0,1,0,0,Matches
316,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,2.8,3,1.08,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
317,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,32.2,13,0.40,12,1,0,0,0,2,0.06,2,0,0,0,0,0,Matches
318,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,19,1999,2.2,5,2.31,4,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
319,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,6,4.82,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
320,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3.0,4,1.33,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
321,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,21.1,37,1.76,32,0,1,1,3,3,0.14,2,0,0,0,1,0,Matches
322,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
323,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,23.2,70,3.02,51,12,3,2,2,7,0.30,4,1,2,0,0,0,Matches
324,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,19.8,26,1.31,22,0,0,3,1,3,0.15,3,0,0,0,0,0,Matches
325,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,4.8,6,1.24,4,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
