,Player,Pos,Squad,Age,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,FK,PassCmp,PassAttm,TotalPassDist,PrgPassDist,ShortCmp,ShortAttm,MedCmp,MedAttm,LongCmp,LongAttm,KeyPasses,FinalThirdPass,PenPass,CrsPA,PrgPassNum,Live,Dead,ThroughBalls,PassUnderPressure,SwitchingPass,Cross,GroundPass,LowPass,HighPass,InterceptedPass,SCA,GCA,Tkl,TklW,TklDef,TklMid,TklAtt,DribTkl,DrbTklAttm,NumPressed,SuccPress,PressDef,PressMid,PressAtt,TotalBlocks,ShotsBlocked,PassesBlocked,PassesIntercepted,Clearances,TouchesDefPen,TouchesDef,TouchesMid,TouchesAtt,TouchesAttPen,LiveTouches,SuccDrib,AttmDrib,PlayersDrib,Nutmegs,Carries,DistCarried,PrgDistCarried,TargetOfPass,PassesRecvd,Miscontrols,Disposessed,Fouls,Recoveries,AerialsWon,AerialsLost
10,Trent Alexander-Arnold,DF,Liverpool,20.0,3175.0,4.0,13.0,2.9,2.9,9.7,44.0,13.0,12.0,2254.0,3147.0,49809.0,19995.0,33.0,120.0,1558.0,1821.0,663.0,1206.0,85.0,202.0,90.0,30.0,459.0,2495.0,652.0,8.0,415.0,226.0,377.0,1472.0,567.0,1108.0,35.0,151.0,24.0,58.0,25.0,37.0,15.0,6.0,34.0,85.0,409.0,131.0,193.0,123.0,93.0,53.0,9.0,44.0,46.0,98.0,105.0,848.0,1641.0,1246.0,63.0,2865.0,26.0,56.0,30.0,4.0,2108.0,9334.0,5698.0,2363.0,2230.0,36.0,22.0,22.0,352.0,14.0,32.0
11,Alisson,GK,Liverpool,26.0,2543.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,794.0,925.0,22277.0,12306.0,2.0,2.0,407.0,410.0,385.0,513.0,2.0,7.0,1.0,0.0,1.0,701.0,224.0,1.0,133.0,28.0,0.0,590.0,85.0,250.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,804.0,976.0,9.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,549.0,2115.0,1090.0,494.0,490.0,1.0,0.0,1.0,153.0,0.0,0.0
12,Dele Alli,"MF,FW",Tottenham,23.0,1847.0,8.0,4.0,6.9,6.1,2.0,39.0,18.0,0.0,621.0,805.0,10289.0,2384.0,15.0,59.0,496.0,584.0,110.0,162.0,22.0,41.0,24.0,0.0,67.0,747.0,58.0,6.0,195.0,8.0,7.0,587.0,139.0,79.0,16.0,53.0,12.0,41.0,29.0,10.0,24.0,7.0,8.0,32.0,479.0,135.0,108.0,234.0,137.0,53.0,7.0,46.0,14.0,17.0,37.0,171.0,575.0,471.0,96.0,1076.0,32.0,63.0,36.0,7.0,747.0,4583.0,2502.0,1102.0,773.0,45.0,56.0,12.0,157.0,17.0,32.0
13,Miguel Almirón,"MF,FW",Newcastle Utd,25.0,3021.0,4.0,2.0,6.4,6.4,1.4,55.0,17.0,0.0,682.0,894.0,10800.0,2575.0,22.0,64.0,563.0,663.0,97.0,167.0,27.0,40.0,24.0,4.0,73.0,881.0,13.0,2.0,207.0,22.0,42.0,635.0,145.0,114.0,31.0,77.0,2.0,62.0,36.0,34.0,17.0,11.0,13.0,46.0,732.0,175.0,236.0,278.0,218.0,44.0,1.0,43.0,30.0,16.0,44.0,314.0,553.0,602.0,90.0,1297.0,46.0,93.0,54.0,5.0,975.0,9236.0,5220.0,1281.0,894.0,60.0,54.0,30.0,228.0,9.0,37.0
14,Marcos Alonso,DF,Chelsea,28.0,1430.0,4.0,2.0,2.0,2.0,2.0,30.0,8.0,1.0,916.0,1108.0,16216.0,4961.0,12.0,38.0,756.0,850.0,148.0,220.0,26.0,34.0,29.0,14.0,115.0,941.0,167.0,0.0,228.0,21.0,67.0,674.0,231.0,203.0,11.0,47.0,6.0,27.0,19.0,17.0,6.0,4.0,5.0,28.0,215.0,88.0,89.0,84.0,42.0,30.0,1.0,29.0,20.0,48.0,30.0,326.0,563.0,511.0,72.0,1146.0,12.0,19.0,12.0,0.0,841.0,4760.0,2735.0,928.0,829.0,20.0,22.0,16.0,183.0,42.0,31.0
15,Steven Alzate,"MF,DF",Brighton,20.0,1188.0,0.0,0.0,1.2,1.2,0.7,13.0,3.0,0.0,564.0,664.0,8969.0,2604.0,11.0,28.0,492.0,553.0,61.0,83.0,13.0,33.0,16.0,2.0,64.0,609.0,55.0,1.0,135.0,9.0,9.0,471.0,133.0,60.0,15.0,30.0,1.0,28.0,23.0,23.0,3.0,2.0,10.0,22.0,235.0,77.0,99.0,94.0,42.0,26.0,3.0,23.0,13.0,14.0,31.0,215.0,406.0,272.0,44.0,787.0,33.0,50.0,35.0,4.0,618.0,3821.0,2140.0,638.0,557.0,20.0,28.0,17.0,137.0,14.0,11.0
16,Ibrahim Amadou,"DF,MF",Norwich City,26.0,759.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,310.0,361.0,6360.0,1790.0,2.0,6.0,219.0,244.0,89.0,111.0,1.0,14.0,1.0,0.0,11.0,354.0,7.0,0.0,68.0,5.0,1.0,285.0,35.0,41.0,7.0,1.0,0.0,21.0,7.0,12.0,8.0,1.0,3.0,11.0,107.0,26.0,64.0,40.0,3.0,8.0,6.0,2.0,17.0,58.0,107.0,329.0,143.0,14.0,4.0,464.0,2.0,3.0,2.0,0.0,253.0,1003.0,474.0,297.0,289.0,1.0,1.0,8.0,75.0,15.0,14.0
17,Felipe Anderson,"MF,FW",West Ham,26.0,1497.0,1.0,4.0,2.5,2.5,2.9,23.0,8.0,0.0,725.0,934.0,12045.0,3503.0,21.0,63.0,596.0,720.0,108.0,151.0,26.0,48.0,33.0,6.0,94.0,903.0,31.0,3.0,188.0,23.0,36.0,635.0,174.0,125.0,28.0,57.0,8.0,45.0,30.0,20.0,18.0,7.0,11.0,48.0,370.0,104.0,92.0,189.0,89.0,21.0,1.0,20.0,21.0,14.0,26.0,166.0,616.0,517.0,68.0,1138.0,66.0,97.0,70.0,5.0,932.0,7366.0,4575.0,1042.0,889.0,33.0,35.0,17.0,135.0,4.0,24.0
18,Florin Andone,"MF,FW",Brighton,26.0,73.0,1.0,0.0,0.1,0.1,0.0,1.0,1.0,0.0,8.0,12.0,77.0,20.0,0.0,1.0,8.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,5.0,0.0,0.0,8.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,12.0,16.0,7.0,28.0,2.0,4.0,2.0,0.0,17.0,218.0,151.0,33.0,16.0,5.0,2.0,2.0,7.0,2.0,3.0
19,Angeliño,DF,Manchester City,22.0,423.0,0.0,0.0,0.2,0.2,1.2,5.0,0.0,0.0,335.0,426.0,6057.0,1706.0,4.0,14.0,266.0,304.0,65.0,108.0,9.0,33.0,14.0,7.0,47.0,377.0,49.0,0.0,70.0,7.0,42.0,267.0,78.0,81.0,5.0,14.0,0.0,8.0,5.0,4.0,3.0,1.0,5.0,6.0,47.0,18.0,14.0,25.0,8.0,4.0,0.0,4.0,9.0,18.0,16.0,98.0,199.0,214.0,10.0,429.0,5.0,8.0,5.0,2.0,321.0,1545.0,942.0,361.0,343.0,3.0,4.0,2.0,49.0,8.0,8.0
20,Faustino Anjorin,FW,Chelsea,17.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,121.0,14.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,12.0,1.0,1.0,1.0,0.0,10.0,67.0,40.0,11.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0
21,Michail Antonio,FW,West Ham,29.0,1768.0,10.0,3.0,11.6,10.8,2.8,67.0,30.0,0.0,325.0,507.0,5127.0,1297.0,15.0,55.0,262.0,354.0,48.0,98.0,21.0,21.0,14.0,8.0,45.0,467.0,40.0,5.0,169.0,14.0,49.0,249.0,133.0,125.0,6.0,58.0,7.0,14.0,10.0,5.0,4.0,5.0,2.0,14.0,337.0,78.0,31.0,151.0,155.0,26.0,5.0,21.0,9.0,9.0,12.0,47.0,305.0,557.0,126.0,811.0,71.0,107.0,74.0,3.0,601.0,4523.0,2699.0,1134.0,626.0,71.0,49.0,40.0,95.0,76.0,115.0
22,Stuart Armstrong,MF,Southampton,27.0,1715.0,5.0,3.0,2.8,2.8,1.1,46.0,19.0,0.0,466.0,612.0,7277.0,2375.0,17.0,49.0,388.0,469.0,61.0,94.0,16.0,33.0,24.0,4.0,67.0,593.0,19.0,2.0,157.0,8.0,23.0,390.0,136.0,86.0,16.0,48.0,8.0,49.0,25.0,27.0,14.0,8.0,13.0,46.0,407.0,129.0,115.0,187.0,105.0,24.0,5.0,19.0,10.0,22.0,47.0,167.0,412.0,368.0,49.0,863.0,31.0,53.0,33.0,2.0,593.0,4281.0,2315.0,732.0,560.0,37.0,29.0,26.0,168.0,10.0,29.0
23,Kepa Arrizabalaga,GK,Chelsea,24.0,2970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.0,1086.0,23680.0,12292.0,0.0,0.0,500.0,505.0,377.0,581.0,0.0,1.0,0.0,0.0,0.0,832.0,254.0,0.0,119.0,22.0,0.0,702.0,62.0,322.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1002.0,1128.0,5.0,0.0,0.0,881.0,0.0,0.0,0.0,0.0,681.0,2609.0,1488.0,646.0,646.0,0.0,0.0,0.0,138.0,0.0,0.0
24,Christian Atsu,"FW,MF",Newcastle Utd,27.0,749.0,0.0,3.0,0.2,0.2,0.9,5.0,1.0,0.0,163.0,208.0,2588.0,560.0,6.0,14.0,132.0,150.0,25.0,44.0,13.0,2.0,11.0,4.0,21.0,198.0,10.0,1.0,45.0,8.0,17.0,147.0,20.0,41.0,4.0,22.0,3.0,12.0,9.0,4.0,6.0,2.0,4.0,15.0,243.0,47.0,98.0,105.0,40.0,28.0,1.0,27.0,2.0,6.0,12.0,82.0,133.0,158.0,20.0,323.0,19.0,40.0,21.0,1.0,255.0,1974.0,1173.0,321.0,215.0,21.0,20.0,11.0,50.0,7.0,12.0
25,Pierre-Emerick Aubameyang,FW,Arsenal,30.0,3136.0,22.0,3.0,15.7,14.2,3.0,90.0,40.0,2.0,612.0,888.0,9371.0,2584.0,14.0,60.0,531.0,696.0,67.0,132.0,23.0,27.0,48.0,14.0,95.0,856.0,32.0,1.0,243.0,10.0,86.0,558.0,173.0,157.0,23.0,54.0,9.0,39.0,24.0,15.0,14.0,10.0,12.0,50.0,573.0,130.0,113.0,256.0,204.0,59.0,2.0,57.0,11.0,16.0,29.0,158.0,502.0,673.0,168.0,1214.0,25.0,49.0,29.0,0.0,865.0,6213.0,3885.0,1528.0,939.0,58.0,39.0,14.0,125.0,37.0,59.0
26,Serge Aurier,DF,Tottenham,26.0,2700.0,1.0,5.0,0.5,0.5,3.0,13.0,4.0,0.0,1262.0,1654.0,20964.0,7401.0,17.0,79.0,1076.0,1256.0,169.0,319.0,30.0,64.0,39.0,16.0,162.0,1380.0,274.0,1.0,274.0,21.0,134.0,915.0,418.0,321.0,31.0,48.0,6.0,98.0,55.0,66.0,26.0,6.0,32.0,61.0,521.0,153.0,262.0,187.0,72.0,58.0,7.0,51.0,43.0,105.0,119.0,582.0,894.0,680.0,54.0,1789.0,46.0,73.0,46.0,7.0,1198.0,5613.0,3135.0,1297.0,1146.0,36.0,31.0,40.0,320.0,67.0,67.0
27,Jordan Ayew,"FW,MF",Crystal Palace,27.0,3148.0,9.0,2.0,6.3,6.3,1.9,56.0,24.0,0.0,686.0,838.0,9691.0,1890.0,38.0,68.0,569.0,654.0,79.0,116.0,26.0,42.0,22.0,0.0,49.0,801.0,37.0,2.0,247.0,10.0,25.0,588.0,154.0,96.0,18.0,66.0,7.0,54.0,29.0,16.0,21.0,17.0,15.0,45.0,1018.0,219.0,178.0,515.0,325.0,35.0,6.0,29.0,13.0,20.0,30.0,178.0,671.0,637.0,136.0,1331.0,75.0,117.0,78.0,4.0,1012.0,7697.0,3824.0,1682.0,956.0,99.0,108.0,59.0,212.0,59.0,175.0
