,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,540,36,52,236,277,93,527,15,25,60.0,17,0,271,1886,968,724,402,55.5,44,30,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.9,249,10,35,86,147,27,240,6,8,75.0,6,1,179,1177,568,216,159,73.6,4,7,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,497,24,89,225,210,21,488,14,17,82.4,15,0,309,1907,926,359,310,86.4,10,16,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.8,351,4,53,171,160,27,339,10,26,38.5,13,0,235,1852,1143,342,233,68.1,12,16,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.2,763,10,95,383,352,50,748,36,61,59.0,41,1,608,3808,2095,691,546,79.0,35,34,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.5,483,30,160,211,142,14,433,9,12,75.0,10,0,281,1724,1003,327,285,87.2,13,10,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,30.5,1984,69,422,934,740,52,1578,9,26,34.6,10,1,1003,5856,3273,1205,1064,88.3,29,33,Matches
53,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,137,9,36,59,49,3,136,9,10,90.0,9,0,96,489,174,96,84,87.5,2,2,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,28.1,1632,134,477,799,436,60,1576,20,38,52.6,22,0,853,4588,2125,1063,891,83.8,36,29,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,14.0,840,32,226,471,206,12,830,26,43,60.5,29,2,573,4114,2030,586,542,92.5,32,29,Matches
56,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,22.0,1235,148,653,603,47,19,1218,10,12,83.3,10,0,677,3164,1434,747,717,96.0,4,7,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,44,0,4,18,23,4,41,0,1,0.0,0,0,34,149,83,44,35,79.5,2,2,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,515,6,53,199,323,53,507,54,96,56.3,61,3,447,3838,2488,468,382,81.6,21,41,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,22,1996,10.2,421,8,77,161,234,52,393,16,33,48.5,17,3,313,3056,1632,352,259,73.6,17,22,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,5.0,249,13,47,102,118,15,238,4,10,40.0,5,0,148,846,404,186,149,80.1,12,9,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,3.3,242,45,138,117,2,0,237,0,0,,0,0,170,872,444,183,182,99.5,1,0,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,137,116,136,1,0,0,101,1,1,100.0,1,0,76,283,146,77,76,98.7,0,0,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,5,0,0,1,4,0,5,0,0,,0,0,5,15,1,7,5,71.4,1,1,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,5.6,236,4,29,85,138,10,214,13,25,52.0,14,3,165,1025,523,221,170,76.9,10,8,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,8.9,410,31,98,219,107,9,403,7,7,100.0,7,0,213,926,373,276,244,88.4,8,4,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,1983,59,395,949,787,57,1798,106,139,76.3,111,3,1457,8210,4948,1561,1329,85.1,67,90,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,32.0,2247,171,781,1121,476,32,1975,25,43,58.1,27,2,1245,6771,3558,1438,1334,92.8,25,37,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,1013,91,384,405,264,41,875,5,14,35.7,7,2,466,2240,1128,585,518,88.5,19,7,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5.0,177,166,177,0,0,0,146,0,0,,0,0,116,422,208,110,110,100.0,0,0,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,1207,198,731,486,57,42,1170,8,10,80.0,8,0,657,3750,1571,758,728,96.0,7,4,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,973,38,81,422,519,144,949,15,34,44.1,18,1,503,3359,1319,1396,741,53.1,107,39,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,3,0,0,3,0,0,3,0,0,,0,0,3,28,9,3,3,100.0,0,0,Matches
73,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,13.4,1295,29,252,721,414,33,1195,46,63,73.0,49,4,969,4996,2718,970,931,96.0,11,13,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,27.7,1511,42,273,757,607,92,1479,57,94,60.6,61,1,1103,6989,3729,1401,1111,79.3,59,50,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,1748,97,455,1131,225,12,1671,32,44,72.7,33,2,1046,4341,1966,1053,995,94.5,10,28,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,7.0,320,26,44,148,137,31,315,5,8,62.5,6,1,156,668,217,404,232,57.4,28,19,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,32.1,1866,76,470,821,681,71,1562,30,76,39.5,40,2,1085,6777,4341,1199,1042,86.9,41,50,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,1157,160,633,539,24,11,1135,4,6,66.7,4,0,607,2639,1066,600,584,97.3,3,5,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18.8,1492,56,346,882,403,21,1397,29,41,70.7,31,4,1083,7449,4007,1134,1074,94.7,12,25,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,10.3,488,27,111,279,118,9,465,6,14,42.9,6,3,266,1117,517,297,246,82.8,7,12,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,1028,130,457,429,188,27,936,13,18,72.2,13,1,681,2959,1638,715,678,94.8,7,11,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,2310,77,627,1154,729,58,2015,23,46,50.0,25,0,1500,10242,6221,1634,1524,93.3,35,37,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,20,1,1,9,11,2,20,1,3,33.3,1,0,20,112,58,23,17,73.9,2,0,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,609,30,162,364,109,11,599,7,13,53.8,7,0,400,1566,647,429,403,93.9,5,9,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,1449,168,741,750,47,12,1417,2,2,100.0,2,0,1024,6114,3327,1068,1056,98.9,3,2,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,495,107,296,185,33,9,471,5,7,71.4,5,1,215,1071,392,223,207,92.8,4,2,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,FWMF,Sheffield Utd,34,1985,0.4,11,2,4,2,5,2,11,0,0,,0,0,1,5,4,14,8,57.1,0,0,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.8,583,21,106,288,214,25,555,4,6,66.7,4,0,374,1359,588,449,374,83.3,8,6,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,38.0,2046,354,1366,787,1,0,2012,6,6,100.0,6,0,1324,6936,3166,1357,1352,99.6,3,2,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,20.4,1307,86,434,634,330,30,1089,38,62,61.3,44,6,783,5032,2799,782,691,88.4,24,17,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,14.0,349,2,21,148,200,61,334,6,16,37.5,6,1,228,1712,944,535,235,43.9,42,34,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,862,41,217,462,236,13,844,35,43,81.4,36,5,635,3349,1481,654,590,90.2,19,28,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,27.0,1559,262,941,621,69,26,1500,4,4,100.0,4,0,823,4489,2115,923,891,96.5,6,4,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,1229,64,219,793,286,31,1222,26,35,74.3,26,1,746,3860,1597,788,670,85.0,25,44,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,30.3,1971,107,549,943,562,26,1581,16,38,42.1,19,2,1076,4665,2306,1139,1047,91.9,9,13,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,105,1,10,51,49,17,98,5,9,55.6,6,0,70,478,231,173,60,34.7,10,9,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,78,4,12,31,35,4,64,0,0,,0,0,46,230,124,49,46,93.9,0,5,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,62,8,22,26,14,1,52,0,0,,0,0,37,169,67,30,29,96.7,1,0,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,683,120,428,271,25,21,655,5,6,83.3,5,0,346,1666,983,391,378,96.7,1,0,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,206,12,65,104,49,2,173,3,6,50.0,3,0,115,683,322,123,109,88.6,8,1,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,15.9,1138,58,385,575,228,23,968,8,15,53.3,8,0,589,2749,1578,667,642,96.3,5,9,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,22.5,1118,48,288,691,204,23,1097,21,34,61.8,24,0,688,3888,2018,770,689,89.5,22,30,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,6.1,224,5,17,102,122,33,219,9,15,60.0,9,1,168,1169,571,311,179,57.6,19,19,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,26.2,1225,167,634,562,79,47,1197,2,2,100.0,2,0,631,2920,1372,693,657,94.8,9,6,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,31.0,2577,30,220,1135,1405,164,2305,63,97,64.9,65,1,1816,9863,6500,2180,1949,89.4,43,44,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,24.7,951,26,75,447,456,110,924,11,22,50.0,11,0,429,1700,712,1368,707,51.7,64,26,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,895,32,230,582,150,1,882,20,24,83.3,20,0,620,3263,1515,635,613,96.5,10,9,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,1599,113,576,901,198,39,1583,17,21,81.0,17,1,957,4352,2169,1186,1011,85.2,23,16,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,1126,13,145,428,669,157,1036,63,108,58.3,69,2,895,8042,5493,1107,769,69.5,53,50,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,14.9,1035,118,475,547,61,11,1015,3,5,60.0,4,0,611,2911,1466,723,698,96.5,6,4,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,33.7,2366,110,626,963,881,63,1827,25,43,58.1,27,2,1064,5744,3303,1288,1111,86.3,18,32,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,38.0,3465,340,1427,2086,108,49,3382,3,5,60.0,4,0,2321,9327,4883,2568,2514,97.9,2,2,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,30.7,1268,238,698,600,34,22,1226,4,5,80.0,4,0,602,3976,1928,625,603,96.5,3,5,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,468,15,85,196,228,48,458,48,70,68.6,49,1,359,3030,2045,440,318,72.3,34,24,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,31.5,2157,82,508,1098,661,95,1822,29,52,55.8,30,5,1185,6275,4064,1542,1319,85.5,46,23,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,35.1,2065,74,421,1114,668,98,2053,49,78,62.8,51,2,1427,7286,3970,1619,1370,84.6,44,50,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,20,0,2,16,7,0,20,0,0,,0,0,19,100,20,19,19,100.0,0,0,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,26,2,6,19,1,0,25,0,1,0.0,0,0,11,43,5,16,11,68.8,0,1,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,199,6,62,110,33,2,195,2,3,66.7,2,0,117,489,173,136,126,92.6,2,6,Matches
120,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,240,6,20,134,96,24,228,6,14,42.9,6,1,155,682,260,300,159,53.0,24,13,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,1201,1030,1195,7,0,0,719,0,0,,0,0,435,2614,1424,338,338,100.0,3,0,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,467,16,79,250,156,9,429,5,12,41.7,5,3,278,1230,526,401,307,76.6,14,3,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,800,124,503,304,35,16,766,2,5,40.0,3,0,420,2022,1047,465,455,97.8,6,2,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,663,92,337,264,86,6,613,1,3,33.3,1,0,327,1291,647,358,335,93.6,3,1,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,35.9,2547,436,1559,1029,107,43,2448,3,7,42.9,3,0,1596,8765,4727,1737,1712,98.6,7,10,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34.1,1133,947,1121,25,0,0,950,0,0,,0,0,702,3209,2148,668,665,99.6,2,0,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,1670,248,896,792,65,47,1638,3,3,100.0,3,1,803,4700,2585,861,831,96.5,8,1,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,16,0,0,5,11,0,12,1,1,100.0,1,0,10,44,13,14,11,78.6,0,1,Matches
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,718,48,211,327,240,17,622,6,9,66.7,7,0,429,2352,1408,462,424,91.8,4,5,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,776,154,489,310,34,13,757,2,2,100.0,2,0,435,2540,1449,469,461,98.3,0,2,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,868,17,136,430,350,21,779,3,12,25.0,3,0,554,2673,1495,679,573,84.4,17,14,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,37.6,2810,399,1484,1373,104,39,2732,9,10,90.0,9,0,1775,9493,5297,1905,1871,98.2,6,7,Matches
133,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,23.5,728,656,728,0,0,0,465,1,1,100.0,1,0,304,1956,992,229,226,98.7,1,0,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,23.1,1735,42,379,1114,326,13,1715,10,12,83.3,11,1,1136,5164,2355,1257,1205,95.9,11,12,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,12,11,11,1,0,0,9,0,0,,0,0,4,18,13,4,4,100.0,0,0,Matches
136,Akin Famewo\Akin-Famewo,eng ENG,MF,Norwich City,20,1998,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,Matches
137,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.9,1505,64,425,704,458,21,1231,25,36,69.4,25,1,832,4507,2325,810,753,93.0,16,12,Matches
138,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,13.2,1000,17,100,490,474,41,894,15,21,71.4,15,1,655,3372,2012,849,737,86.8,23,16,Matches
139,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,66,1,6,28,39,6,59,2,5,40.0,3,0,49,359,219,62,47,75.8,3,4,Matches
140,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,29.1,1561,274,1005,467,161,21,1433,11,14,78.6,11,0,820,3800,1841,865,838,96.9,6,11,Matches
141,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.6,2435,241,972,1525,113,21,2381,12,14,85.7,12,2,1751,11286,7387,1884,1854,98.4,6,7,Matches
142,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,33.2,1573,21,116,741,810,230,1543,59,97,60.8,64,2,1168,6485,3587,1818,1218,67.0,64,59,Matches
143,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,28.0,1406,36,211,621,659,54,1277,43,62,69.4,48,3,892,4839,2790,1004,870,86.7,30,22,Matches
144,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,10.0,628,3,48,262,356,72,616,24,31,77.4,25,0,482,2649,1496,591,516,87.3,10,23,Matches
145,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,24.1,1149,14,170,542,512,51,1113,20,39,51.3,22,3,798,4337,2307,1055,786,74.5,22,38,Matches
146,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,38.0,1309,1057,1277,35,1,1,845,3,3,100.0,3,0,534,3603,2217,397,396,99.7,0,0,Matches
147,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,84,2,20,49,20,3,77,1,1,100.0,1,0,50,229,123,67,57,85.1,2,1,Matches
148,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,20,3,7,9,6,0,19,2,2,100.0,2,0,12,109,71,13,9,69.2,1,1,Matches
149,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,77,7,31,42,10,0,69,1,3,33.3,1,0,44,214,122,46,42,91.3,1,2,Matches
150,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,695,113,401,245,73,10,655,4,7,57.1,4,0,366,1861,747,410,382,93.2,1,2,Matches
151,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,1135,29,200,431,613,69,1014,10,23,43.5,12,0,799,5673,3499,1001,786,78.5,32,21,Matches
152,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24.0,2035,69,480,1216,487,23,1943,40,52,76.9,43,4,1482,7763,3976,1478,1393,94.2,28,40,Matches
153,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,24.9,1382,91,440,605,418,32,1174,13,29,44.8,13,0,727,4334,2684,800,721,90.1,20,16,Matches
154,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,3,0,0,0,3,0,3,0,0,,0,0,1,1,0,4,2,50.0,1,0,Matches
155,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,204,7,29,77,117,9,197,7,8,87.5,7,0,146,1043,585,157,124,79.0,4,13,Matches
156,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8.6,735,29,275,377,111,2,647,4,7,57.1,4,1,438,1859,851,482,465,96.5,5,1,Matches
157,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,8.8,785,61,325,489,18,3,778,7,7,100.0,7,0,611,2664,1456,645,637,98.8,1,1,Matches
158,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,17,1,1,12,4,0,17,0,0,,0,0,11,21,5,14,14,100.0,0,0,Matches
159,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,9.4,243,8,27,123,104,37,227,4,5,80.0,4,0,115,645,287,303,161,53.1,18,11,Matches
