,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,35.0,686,838,81.9,9691,1890,38,68,55.9,569,654,87.0,79,116,68.1,2,1.9,+0.1,26,42,22,0,49,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,2267,2838,79.9,40338,15485,37,111,33.3,1873,2139,87.6,357,588,60.7,6,5.7,+0.3,43,147,60,28,288,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,64,72,88.9,1266,433,0,1,0.0,49,54,90.7,15,17,88.2,0,0.0,0.0,0,2,0,0,4,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.5,168,209,80.4,2952,1099,0,6,0.0,140,152,92.1,28,51,54.9,0,0.8,-0.8,6,6,7,5,31,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,361,487,74.1,8135,2892,3,12,25.0,219,260,84.2,139,215,64.7,0,0.0,0.0,0,24,2,0,30,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,1173,1552,75.6,18040,6534,35,111,31.5,1001,1139,87.9,137,302,45.4,3,2.5,+0.5,27,61,45,28,168,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,21.0,599,897,66.8,11391,5401,13,43,30.2,459,558,82.3,127,296,42.9,1,0.7,+0.3,7,67,15,2,112,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.3,540,616,87.7,10336,1945,11,20,55.0,403,454,88.8,126,142,88.7,4,2.7,+1.3,25,53,20,1,53,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.0,155,253,61.3,2120,552,7,22,31.8,134,187,71.7,14,44,31.8,0,0.5,-0.5,4,5,10,0,23,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,23.1,559,729,76.7,8289,2046,18,51,35.3,491,591,83.1,50,87,57.5,8,3.5,+4.5,31,34,40,3,91,Matches
