,Player,Pos,Squad,Age,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,FK,PassCmp,PassAttm,TotalPassDist,PrgPassDist,ShortCmp,ShortAttm,MedCmp,MedAttm,LongCmp,LongAttm,KeyPasses,FinalThirdPass,PenPass,CrsPA,PrgPassNum,Live,Dead,ThroughBalls,PassUnderPressure,SwitchingPass,Cross,GroundPass,LowPass,HighPass,InterceptedPass,SCA,GCA,Tkl,TklW,TklDef,TklMid,TklAtt,DribTkl,DrbTklAttm,NumPressed,SuccPress,PressDef,PressMid,PressAtt,TotalBlocks,ShotsBlocked,PassesBlocked,PassesIntercepted,Clearances,TouchesDefPen,TouchesDef,TouchesMid,TouchesAtt,TouchesAttPen,LiveTouches,SuccDrib,AttmDrib,PlayersDrib,Nutmegs,Carries,DistCarried,PrgDistCarried,TargetOfPass,PassesRecvd,Miscontrols,Disposessed,Fouls,Recoveries,AerialsWon,AerialsLost
54,Hatem Ben Arfa,"MF,FW",Valladolid,32.0,159.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,42.0,55.0,797.0,93.0,2.0,4.0,32.0,38.0,8.0,13.0,1.0,2.0,1.0,0.0,2.0,50.0,5.0,0.0,7.0,4.0,0.0,41.0,9.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,8.0,6.0,21.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,12.0,51.0,26.0,3.0,72.0,10.0,15.0,11.0,0.0,69.0,587.0,312.0,71.0,60.0,3.0,9.0,2.0,10.0,2.0,0.0
55,Karim Benzema,FW,Real Madrid,31.0,3141.0,21.0,8.0,17.5,13.7,8.4,118.0,54.0,1.0,1119.0,1329.0,16894.0,3022.0,47.0,93.0,930.0,1057.0,142.0,179.0,61.0,71.0,58.0,1.0,111.0,1275.0,54.0,6.0,244.0,27.0,22.0,1044.0,185.0,100.0,36.0,118.0,17.0,17.0,13.0,2.0,9.0,6.0,7.0,25.0,319.0,83.0,23.0,135.0,161.0,16.0,3.0,13.0,9.0,25.0,32.0,123.0,738.0,928.0,269.0,1628.0,39.0,72.0,42.0,2.0,1173.0,6925.0,3619.0,2018.0,1406.0,59.0,42.0,21.0,126.0,28.0,48.0
56,Yuri Berchiche,DF,Athletic Club,29.0,2850.0,2.0,1.0,1.4,1.4,2.6,35.0,9.0,0.0,1351.0,1695.0,25057.0,10064.0,20.0,75.0,1067.0,1236.0,264.0,384.0,27.0,112.0,37.0,18.0,250.0,1375.0,320.0,1.0,285.0,65.0,107.0,959.0,458.0,278.0,40.0,55.0,3.0,50.0,31.0,33.0,15.0,2.0,24.0,45.0,409.0,135.0,196.0,156.0,57.0,75.0,5.0,70.0,32.0,69.0,81.0,568.0,1071.0,605.0,44.0,1769.0,47.0,71.0,49.0,1.0,1298.0,8623.0,5042.0,1356.0,1202.0,53.0,27.0,33.0,320.0,49.0,25.0
57,Markel Bergara,MF,Getafe,33.0,72.0,0.0,0.0,0.2,0.2,0.2,1.0,0.0,0.0,10.0,19.0,148.0,17.0,0.0,2.0,10.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,3.0,0.0,2.0,10.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,8.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,7.0,14.0,3.0,24.0,0.0,0.0,0.0,0.0,13.0,94.0,21.0,14.0,10.0,0.0,1.0,3.0,11.0,1.0,2.0
58,Sergio Bermejo,FW,Celta Vigo,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,45.0,18.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,5.0,23.0,9.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
59,Pedro Bigas,DF,Eibar,28.0,1777.0,3.0,0.0,1.6,1.6,0.3,8.0,5.0,0.0,480.0,699.0,11846.0,4452.0,4.0,8.0,280.0,346.0,196.0,345.0,3.0,40.0,5.0,1.0,68.0,646.0,53.0,0.0,107.0,39.0,10.0,297.0,99.0,303.0,5.0,8.0,0.0,18.0,14.0,9.0,9.0,0.0,8.0,20.0,143.0,48.0,83.0,53.0,7.0,28.0,13.0,15.0,39.0,133.0,93.0,422.0,481.0,62.0,11.0,854.0,0.0,2.0,1.0,0.0,384.0,2502.0,1172.0,415.0,398.0,3.0,3.0,9.0,249.0,65.0,38.0
60,Rubén Blanco,GK,Celta Vigo,24.0,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,990.0,21214.0,13857.0,3.0,3.0,286.0,292.0,326.0,695.0,0.0,9.0,0.0,0.0,1.0,582.0,408.0,0.0,84.0,26.0,0.0,373.0,52.0,565.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,965.0,1062.0,4.0,2.0,0.0,664.0,0.0,0.0,0.0,0.0,442.0,2426.0,1332.0,371.0,369.0,0.0,0.0,1.0,135.0,0.0,0.0
61,Pablo de Blasis,"DF,MF",Eibar,31.0,1604.0,2.0,3.0,2.5,1.7,2.0,13.0,4.0,1.0,668.0,956.0,13732.0,5655.0,13.0,34.0,477.0,583.0,178.0,339.0,17.0,79.0,25.0,12.0,137.0,787.0,169.0,1.0,131.0,47.0,86.0,375.0,235.0,346.0,6.0,34.0,4.0,42.0,30.0,24.0,13.0,5.0,25.0,61.0,284.0,82.0,104.0,116.0,64.0,33.0,1.0,32.0,24.0,25.0,30.0,196.0,585.0,408.0,27.0,963.0,13.0,25.0,15.0,0.0,637.0,2828.0,1555.0,765.0,652.0,23.0,14.0,17.0,180.0,22.0,45.0
62,Alejandro Blesa,MF,Levante,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,41.0,11.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,5.0,26.0,21.0,4.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0
63,Yassine Bounou,GK,Sevilla,28.0,495.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,127.0,170.0,4187.0,2666.0,0.0,0.0,60.0,60.0,67.0,110.0,1.0,4.0,0.0,0.0,0.0,113.0,57.0,0.0,16.0,3.0,0.0,81.0,5.0,84.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,185.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,84.0,314.0,101.0,73.0,73.0,0.0,0.0,0.0,30.0,0.0,0.0
