,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.5,0,1,0,0.0,0.22,0.00,0.00,,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,1,10,4,40.0,0.76,0.31,0.10,0.25,0,0,0,1.8,1.8,0.18,-0.8,-0.8,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,2,13,5,38.5,0.34,0.13,0.15,0.40,0,0,0,0.9,0.9,0.07,+1.1,+1.1,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,21.0,0,12,5,41.7,0.57,0.24,0.00,0.00,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.3,1,40,12,30.0,3.26,0.98,0.03,0.08,4,0,0,2.1,2.1,0.05,-1.1,-1.1,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.0,6,39,11,28.2,2.60,0.73,0.13,0.45,0,1,1,5.6,4.8,0.12,+0.4,+0.2,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,23.1,6,61,27,44.3,2.64,1.17,0.10,0.22,0,0,0,8.6,8.6,0.14,-2.6,-2.6,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,0,6,0,0.0,0.17,0.00,0.00,,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,1,15,2,13.3,5.65,0.75,0.07,0.50,0,0,0,2.2,2.2,0.15,-1.2,-1.2,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,1,7,1,14.3,0.21,0.03,0.14,1.00,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,1,7,2,28.6,0.54,0.16,0.14,0.50,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,0,4,0,0.0,0.48,0.00,0.00,,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,2,42,19,45.2,3.00,1.36,0.05,0.11,0,0,0,4.9,4.9,0.12,-2.9,-2.9,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.9,1,11,2,18.2,1.59,0.29,0.09,0.50,2,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,1,5,2,40.0,0.48,0.19,0.20,0.50,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
